Azure lab team 7
IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Meter Category,Meter Sub-Category,Meter Name,Consumed Service,,
Cloud Services,Databases,Azure SQL Database,Compute Units,Database Units,SQL Database,,Database Units%,Database,,
Cloud Services,Databases,Azure SQL Database,Backup Storage,LTR Backup Storage,SQL Database,LTR Backup Storage,Data Stored,,,
Cloud Services,Databases,Azure SQL Managed Instance,Compute Units,Managed Instance Compute,SQL Database,Managed Instance%,,Microsoft.Sql,,
Cloud Services,Databases,Elastic Pool SQL,Compute Units,vCore,SQL Database,Single/Elastic Pool%,vCore,Microsoft.Sql,,
Cloud Services,Databases,Elastic Pool SQL,Perfomance Units,eDTUs,SQL Database,Elastic Pool%,eDTUs,Microsoft.Sql,,
Cloud Services,Databases,SQL Hyperscale,Compute Units,vCore,SQL Database,SingleDB Hyperscale%,vCore,Microsoft.Sql,,
Cloud Services,Databases,Single SQLDatabase,Perfomance Units,DTUs,SQL Database,Single%,%DTUs,Microsoft.Sql,,
Databases,Databases,Azure SQL Database,Reserved Compute,Compute Reservation,SQL Database,Compute Reservation,Usage,Microsoft.Sql,%SLO_: _MIBC%G5%,
Databases,Databases,Azure SQL Database,Azure SQL Database,Azure SQL Database,SQL Database,Compute Reservation,Usage,Microsoft.Sql,%SLO_: _MIGP%G5%,
Cloud Services,Databases,Databases,General Usage,Database Operations,SQL Database,,,Microsoft.Sql,,
Cloud Services,Cloud Services,SQL Data Warehouse,Storage,Database Storage,SQL Data Warehouse,%Storage,,Microsoft.Sql,,
Databases,Databases,Azure SQL Database,Storage,Storage,Storage,,,Microsoft.Sql,,
Storage,Storage & Content delivery,AzureBackup,Backup Storage,Stored Data,Storage,,,microsoft._ackup,,
Storage,Storage & Content delivery,Azure Recovery Services,Backup,Recovery Storage,Storage,,,Microsoft.RecoveryServices,,
Databases,Databases,Azure SQL Database,Storage,Storage,Storage,,,%_torage%,,
Compute,Compute,Azure Virtual Machines,Disk Storage,Persistent Storage,Storage,,,Microsoft.Compute,,
Cloud Services,Machine Learning,Azure Machine Learning,Storage,Data Storage,Storage,,,Microsoft.MachineLearningServices,,
Compute,Batch Processing,Azure Batch,Storage,Job Data Storage,Storage,,,Microsoft.Batch,,
Compute,Compute,Virtual Machines,Licenses,License Cost,Virtual Machines Licenses,,,,,
Compute,Compute,Virtual Machines,Linux VMs,Compute Hours,Virtual Machines,Red Hat Enterprise Linux%,Compute Hours,%Compute,,
Compute,Compute,Virtual Machines,SQL Server VMs,Compute Hours,Virtual Machines,SQL Server%,Compute Hours,,,
Compute,Compute,Virtual Machines,BizTalk Server VMs,Compute Hours,Virtual Machines,BizTalk Server,Compute Hours,%Compute,,
Compute,Compute,Virtual Machines,BizTalk Standart VMs,Compute Hours,Virtual Machines,BizTalk Server Standard%,Compute Hours,%Compute,,
Compute,Compute,Virtual Machines,Dev/Test VMs,Compute Hours,Virtual Machines,Java Development Environment%,Compute Hours,Unassigned,,
Compute,Compute,Virtual Machines,Reserved Instances,Reserved Compute,Virtual Machines,Reservation%,Compute Hours,%Compute,,
Cloud Services,DevOps,Azure DevOps,Users,Per User Subscription,Visual Studio,Team Services,Users,,,
Cloud Services,DevOps,Azure DevOps,Private Build Agents,Build/Deployment,Visual Studio,Build and Deployment,Private Agents,,,
Cloud Services,DevOps,Azure DevOps,Hosted Build Agents,Build/Deployment,Visual Studio,Build and Deployment,Hosted Agents,,,
Cloud Services,Monitoring & Logging,Azure Application Insights,Monitoring,Telemetry/Requests,Visual Studio,Application Insights,,microsoft.insights,,
Cloud Services,Application Services,Azure App Services,Web Sites,Free Tier,Websites,Web Sites,Free Web Sites,Microsoft.Web,,
Cloud Services,Application Services,Azure App Services,Web Sites,Runtime Hours,Websites,,%Hours,Microsoft.Web,,
Cloud Services,Application Services,Azure App Services,SSL,IP SSL,Websites,Web Sites,IP SSL,Microsoft.Web,,
Cloud Services,Analytics,Azure Data Factory,Data Movement,Pipeline Activity,Azure Data Factory v2,,Cloud Data Movement,Microsoft.DataFactory,,
Cloud Services,Analytics,Azure Data Factory,Orchestration,Activity Runs,Azure Data Factory v2,,Cloud Orchestration Activity Run,Microsoft.DataFactory,,
Cloud Services,Analytics,Azure Data Factory,External Integration Runtime,Pipeline Activity,Azure Data Factory v2,,Cloud Pipeline Activity External IR,Microsoft.DataFactory,,
Cloud Services,Analytics,Azure Data Factory,Integration Runtime,Pipeline Activity,Azure Data Factory v2,,Cloud Pipeline Activity IR,Microsoft.DataFactory,,
Cloud Services,Analytics,Azure Data Factory,Monitoring,Monitoring Operations,Azure Data Factory v2,,Monitoring Operations,Microsoft.DataFactory,,
Cloud Services,Analytics,Azure Data Factory,Data Operations,Read/Write,Azure Data Factory v2,,Read Write Operations,Microsoft.DataFactory,,
